[go_explore_solve] progress source: PPU scroll odometer (axis x)
[seed] RESUMED archive from runs/ng_odo_v2: 8329 cells, 8329 traces, max_area=0, max_sect=0, c_local=739
[seed] rooted at roms/Ninja Gaiden (USA)_start.state.bin wd=() lives=0 area=0; archive={"cells": 8329, "frontier": 8105, "best_score": 5838, "records": 1, "new_cells": 1, "improvements": 0}
[go_explore_solve] {"t": "2026-08-23T22:55:10", "elapsed_s": 3540, "cells": 35860, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 5697020, "sps": 1609, "stall_flat_windows": 0, "c_local": 776, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:56:10", "elapsed_s": 3600, "cells": 36208, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 5799820, "sps": 1611, "stall_flat_windows": 0, "c_local": 777, "c_local_band": 10, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.1333}
[go_explore_solve] {"t": "2026-08-23T22:57:10", "elapsed_s": 3660, "cells": 36580, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 5901360, "sps": 1612, "stall_flat_windows": 0, "c_local": 777, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:58:10", "elapsed_s": 3720, "cells": 36912, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 5997980, "sps": 1612, "stall_flat_windows": 0, "c_local": 777, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:59:10", "elapsed_s": 3780, "cells": 37197, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 6090440, "sps": 1611, "stall_flat_windows": 0, "c_local": 778, "c_local_band": 10, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.1672}
[go_explore_solve] {"t": "2026-08-23T23:00:10", "elapsed_s": 3840, "cells": 37529, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 6187000, "sps": 1611, "stall_flat_windows": 0, "c_local": 780, "c_local_band": 10, "c_local_delta": 2, "c_local_band_delta": 0, "c_local_elasticity": 0.2889}
[go_explore_solve] {"t": "2026-08-23T23:01:10", "elapsed_s": 3900, "cells": 37815, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 6285280, "sps": 1612, "stall_flat_windows": 0, "c_local": 780, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T23:02:10", "elapsed_s": 3960, "cells": 38128, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 6386690, "sps": 1613, "stall_flat_windows": 0, "c_local": 780, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T23:03:10", "elapsed_s": 4020, "cells": 38389, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 6488150, "sps": 1614, "stall_flat_windows": 0, "c_local": 781, "c_local_band": 10, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.1878}
[go_explore_solve] {"t": "2026-08-23T23:04:10", "elapsed_s": 4080, "cells": 38691, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 6595670, "sps": 1617, "stall_flat_windows": 0, "c_local": 781, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T23:05:10", "elapsed_s": 4140, "cells": 38978, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 6705060, "sps": 1619, "stall_flat_windows": 0, "c_local": 781, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T23:06:10", "elapsed_s": 4200, "cells": 39238, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 6815260, "sps": 1623, "stall_flat_windows": 0, "c_local": 782, "c_local_band": 10, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.1925}
