run,iter,tau,tau_max,trailing_succ,trailing_n,trailing_rate,at_entrance,entrance_succ_cum,entrance_n_cum,entrance_rate_cum,truncated_cum
v28_seed2,190,0,784,0,30,0.0,True,2763,12769,0.216,7776
v28_seed2,191,0,784,0,30,0.0,True,2763,12864,0.215,7836
v28_seed2,192,0,784,0,30,0.0,True,2763,12956,0.213,7896
v28_seed2,193,0,784,0,30,0.0,True,2763,13042,0.212,7956
v28_seed2,194,0,784,0,30,0.0,True,2763,13140,0.21,8015
v28_seed2,195,0,784,0,30,0.0,True,2763,13228,0.209,8075
v28_seed2,196,0,784,0,30,0.0,True,2763,13320,0.207,8135
v28_seed2,197,0,784,0,30,0.0,True,2763,13422,0.206,8195
v28_seed2,198,0,784,0,30,0.0,True,2763,13508,0.205,8255
v28_seed2,199,0,784,0,30,0.0,True,2763,13594,0.203,8315
v28_seed2,200,0,784,0,30,0.0,True,2763,13680,0.202,8375
v28_seed2,201,0,784,0,30,0.0,True,2763,13766,0.201,8435
