run,seed,generation,reward_forward,reward_completion,reward_time_penalty,ppo_entropy,success_rate,vanilla_ppo_clears,vanilla_ppo_in_progress,avg_fitness,best_fitness,episodes,mag_total,share_forward,share_completion,share_time_penalty,net_logged_reward,peak_iter
v27,seed0,92,1899.1166666666666,14.166666666666666,-4.214166666666611,0.3545234799385071,0.152317880794702,23,60,1346.5112371381545,4343.6943359375,151,1917.4975,0.9904141552553088,0.007388101766321295,0.0021977429783697822,1909.0691666666667,60
v27,seed0,93,1615.15,10.833333333333334,-3.693666666666621,0.3528202772140503,0.11834319526627218,20,60,1338.2066934800007,4188.564453125,169,1629.677,0.9910859636602837,0.006647534040999127,0.0022665022987172433,1622.2896666666668,60
v27,seed0,94,1756.85,11.666666666666666,-4.031833333333282,0.37284207344055176,0.09937888198757763,16,60,1330.2746685336094,4116.75244140625,161,1772.5484999999999,0.9911435427577864,0.006581860336496669,0.0022745969057169843,1764.4848333333334,60
v27,seed0,95,1859.0833333333333,9.166666666666666,-4.658999999999938,0.3611292839050293,0.11029411764705882,15,60,1301.168404523064,4318.45751953125,136,1872.9089999999999,0.9926180787925806,0.004894347064735482,0.002487574142683888,1863.5910000000001,60
v27,seed0,96,1580.15,8.333333333333334,-3.9533333333332856,0.32557904720306396,0.08536585365853659,14,60,1255.6616851992724,4144.2041015625,164,1592.4366666666667,0.9922843608641684,0.005233070493646006,0.002482568642185635,1584.53,60
v27,seed0,97,1474.8833333333334,8.333333333333334,-3.1498333333333006,0.3438482880592346,0.08333333333333333,15,60,1369.051511806912,4167.427734375,180,1486.3665,0.9922743370045903,0.005606513153608705,0.0021191498418009964,1480.0668333333333,60
v27,seed0,98,1755.3833333333334,14.166666666666666,-3.549833333333291,0.33576688170433044,0.12903225806451613,24,60,1247.0822315010973,4192.80615234375,186,1773.0998333333334,0.9900081768285467,0.007989773841461642,0.0020020493299916413,1766.000166666667,60
v27,seed0,99,1704.3,12.5,-3.083666666666632,0.3278350234031677,0.1695906432748538,29,60,1407.996517248321,4375.35498046875,171,1719.8836666666666,0.9909391158433003,0.007267933431931733,0.0017929507247679923,1713.7163333333333,60
v27,seed0,100,1855.2833333333333,20.0,-3.6894999999999545,0.3729146420955658,0.2785714285714286,39,60,1611.8980647495814,4607.08203125,140,1878.9728333333333,0.987392313726019,0.010644113446025519,0.0019635728279555334,1871.5938333333334,60
v27,seed0,101,1883.5833333333333,14.166666666666666,-3.729833333333289,0.292664498090744,0.18181818181818182,28,60,1459.2670846914316,4739.771484375,154,1901.4798333333333,0.990588120007233,0.007450337583561014,0.0019615424092059995,1894.0201666666667,60
v27,seed0,102,1690.6,11.666666666666666,-2.99049999999997,0.30214011669158936,0.13020833333333334,25,60,1299.6131064891815,4283.24072265625,192,1705.2571666666665,0.9914047177439415,0.006841587823068329,0.0017536944329901974,1699.2761666666668,60
v27,seed0,103,1770.8833333333334,16.666666666666668,-3.3736666666666255,0.3149715065956116,0.2125,34,60,1468.4423221588136,4534.41015625,160,1790.9236666666668,0.9888100572311754,0.00930618483460397,0.0018837579342205122,1784.1763333333336,60
v27,seed0,104,1783.6,15.833333333333334,-3.5156666666666236,0.2736002206802368,0.17543859649122806,30,60,1411.4461671706529,4549.4072265625,171,1802.9489999999998,0.9892681379229252,0.008781908602702204,0.0019499534743726106,1795.9176666666665,60
v27,seed0,105,1963.3166666666666,14.166666666666666,-4.109166666666616,0.24730443954467773,0.20270270270270271,30,60,1409.0398448222393,4348.78662109375,148,1981.5925,0.9907771989784311,0.007149132158436543,0.0020736688631323628,1973.3741666666667,60
v27,seed0,106,1741.8666666666666,16.666666666666668,-3.498166666666623,0.25903114676475525,0.2535211267605634,36,60,1616.4101520592058,4302.7763671875,142,1762.0314999999998,0.9885559177952645,0.009458779066473369,0.0019853031382620705,1755.0351666666668,60
v27,seed0,107,1780.8166666666666,14.166666666666666,-3.538999999999955,0.2311078906059265,0.2,33,60,1396.6163945978337,4334.39208984375,165,1798.5223333333333,0.9901554368614086,0.007876836669806899,0.0019677264687844418,1791.4443333333334,60
v27,seed0,108,1846.5666666666666,15.833333333333334,-3.8191666666666206,0.21889269351959229,0.24489795918367346,36,60,1461.8334809387622,4442.80615234375,147,1866.2191666666665,0.9894693504648213,0.00848417678702439,0.002046472748154332,1858.5808333333332,60
v27,seed0,109,1789.1666666666667,15.0,-3.9014999999999493,0.29210972785949707,0.3203125,41,60,1577.3317843675613,4391.95849609375,128,1808.0681666666667,0.9895460246751391,0.008296147388985795,0.0021578279358751775,1800.2651666666668,60
v27,seed0,110,1855.6333333333334,17.5,-3.7488333333332875,0.23266255855560303,0.3442622950819672,42,60,1745.592348692847,4605.78173828125,122,1876.8821666666668,0.9886786535080829,0.009323973721312464,0.0019973727706045588,1869.3845000000001,60
v27,seed0,111,1848.75,16.666666666666668,-3.3686666666666265,0.2157425433397293,0.3178294573643411,41,60,1717.3910696340163,4318.767578125,129,1868.7853333333333,0.9892789541013807,0.008918448988968949,0.0018025969096503824,1862.0480000000002,60
v27,seed0,112,1792.4333333333334,15.0,-3.2991666666666295,0.20099863409996033,0.17791411042944785,29,60,1514.5046618877013,4351.37255859375,163,1810.7325,0.9898940530052525,0.008283940339061678,0.0018220066556858228,1804.1341666666667,60
