run,generation,avg_fitness,best_fitness,success_rate,episodes,vanilla_ppo_clears,approx_mean_ep_len,ppo_entropy
v27_seed0,229,1224.736090766059,3620.750732421875,0.04938271604938271,162,8,379.25925925925924,0.07075247913599014
v27_seed0,230,1319.1823667896738,3605.6826171875,0.07913669064748201,139,11,442.0143884892086,0.06064727157354355
v27_seed0,231,1281.549127234034,3717.1708984375,0.04216867469879518,166,7,370.12048192771084,0.061127543449401855
v27_seed0,232,1210.0659964805425,3602.522216796875,0.029069767441860465,172,5,357.2093023255814,0.05658742040395737
v27_seed0,233,1162.091251140469,3605.722412109375,0.023474178403755867,213,5,288.4507042253521,0.051221814006567
v27_seed0,234,1233.8687226315762,3447.372314453125,0.031914893617021274,188,6,326.8085106382979,0.03502050042152405
v27_seed0,235,1297.1501413670983,3605.942626953125,0.04878048780487805,164,8,374.6341463414634,0.04962433874607086
v27_seed0,236,1105.2532524923677,3619.75048828125,0.019417475728155338,206,4,298.252427184466,0.04964601621031761
v27_seed0,237,1181.9364955881254,3322.683349609375,0.01639344262295082,183,3,335.73770491803276,0.042363137006759644
v27_seed0,238,1175.9629899510796,3653.75048828125,0.012578616352201259,159,2,386.41509433962267,0.06363382935523987
v27_seed0,239,1167.3313902916268,3588.75048828125,0.023391812865497075,171,4,359.29824561403507,0.06074034795165062
v27_seed0,240,1186.6608813741932,3555.75048828125,0.021739130434782608,184,4,333.9130434782609,0.0500180721282959
v27_seed0,241,1172.335238647461,3780.75048828125,0.01935483870967742,155,3,396.38709677419354,0.03081251122057438
v27_seed0,242,1113.2840123438573,3619.75048828125,0.03296703296703297,182,6,337.5824175824176,0.0833272635936737
v27_seed0,243,1129.2929636056083,3605.10205078125,0.011428571428571429,175,2,351.0857142857143,0.05348356068134308
v27_seed0,244,1185.9530679270708,3348.023681640625,0.011049723756906077,181,2,339.4475138121547,0.069149911403656
v27_seed0,245,1192.6664831622754,3604.8828125,0.013071895424836602,153,2,401.5686274509804,0.0945126861333847
v27_seed0,246,1088.5761404452116,3556.75048828125,0.005434782608695652,184,1,333.9130434782609,0.07089176774024963
v27_seed0,247,1180.0387732726706,2521.142822265625,0.0,177,0,347.1186440677966,0.05469390004873276
v27_seed0,248,1180.5289999231115,2529.426025390625,0.0,154,0,398.961038961039,0.06785645335912704
